image_file,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18
001.bmp,0.4315245478036176,0.415,0.7612403100775194,0.42875,0.6661498708010336,0.5329166666666667,0.3121447028423773,0.5116666666666667,0.710594315245478,0.6891666666666667,0.7162790697674418,0.84125,0.6888888888888889,0.9166666666666666,0.6527131782945736,0.9466666666666667,0.6744186046511628,0.9383333333333334,0.358656330749354,0.7520833333333333,0.7545219638242894,0.7791666666666667,0.7493540051679587,0.7766666666666666,0.820671834625323,0.7304166666666667,0.8108527131782945,0.83875,0.7824289405684755,0.675,0.7142118863049096,0.9625,0.4878552971576227,0.6275,0.7421188630490956,0.65375,0.34315245478036177,0.5583333333333333
002.bmp,0.4186046511627907,0.43833333333333335,0.7209302325581395,0.41041666666666665,0.662015503875969,0.5158333333333334,0.3111111111111111,0.5241666666666667,0.7198966408268734,0.6616666666666666,0.697157622739018,0.7733333333333333,0.7136950904392765,0.8354166666666667,0.6821705426356589,0.87125,0.7043927648578812,0.8595833333333334,0.3550387596899225,0.7316666666666667,0.7271317829457364,0.7158333333333333,0.7369509043927649,0.7225,0.7850129198966408,0.6954166666666667,0.7813953488372093,0.7645833333333333,0.7555555555555555,0.63125,0.7540051679586564,0.87625,0.5054263565891473,0.5970833333333333,0.7229974160206718,0.6020833333333333,0.33229974160206716,0.56375
003.bmp,0.39328165374677004,0.46041666666666664,0.6868217054263566,0.37958333333333333,0.6459948320413437,0.4920833333333333,0.3214470284237726,0.5329166666666667,0.7421188630490956,0.5895833333333333,0.7436692506459949,0.7266666666666667,0.7545219638242894,0.7841666666666667,0.7266149870801034,0.80625,0.7483204134366925,0.8,0.42118863049095606,0.7125,0.7498708010335917,0.65625,0.772609819121447,0.67,0.8170542635658915,0.60375,0.8248062015503876,0.7029166666666666,0.7875968992248062,0.5704166666666667,0.7886304909560724,0.80125,0.5209302325581395,0.585,0.7338501291989664,0.5625,0.36795865633074937,0.5616666666666666
004.bmp,0.4532299741602067,0.4558333333333333,0.7937984496124031,0.37375,0.7095607235142118,0.51625,0.33229974160206716,0.5145833333333333,0.7922480620155039,0.6629166666666667,0.7581395348837209,0.76375,0.758656330749354,0.84,0.7328165374677003,0.87125,0.7488372093023256,0.85875,0.407235142118863,0.7675,0.7695090439276486,0.715,0.7943152454780362,0.725,0.8552971576227391,0.70625,0.8434108527131783,0.7808333333333334,0.8351421188630491,0.6429166666666667,0.7886304909560724,0.8775,0.5576227390180879,0.60375,0.7937984496124031,0.6095833333333334,0.36589147286821705,0.5745833333333333
005.bmp,0.3643410852713178,0.4275,0.668733850129199,0.34291666666666665,0.6423772609819122,0.45208333333333334,0.27338501291989664,0.5095833333333334,0.7354005167958656,0.6020833333333333,0.689405684754522,0.7416666666666667,0.6842377260981912,0.8183333333333334,0.6604651162790698,0.8375,0.6764857881136951,0.8304166666666667,0.3705426356589147,0.6904166666666667,0.7307493540051679,0.6695833333333333,0.7540051679586564,0.6804166666666667,0.7968992248062016,0.6129166666666667,0.7777777777777778,0.7341666666666666,0.7596899224806202,0.5733333333333334,0.7131782945736435,0.83375,0.4904392764857881,0.56875,0.7131782945736435,0.54625,0.32506459948320415,0.55125
006.bmp,0.4284237726098191,0.40958333333333335,0.7219638242894056,0.4170833333333333,0.6403100775193798,0.5216666666666666,0.3085271317829457,0.48375,0.6837209302325581,0.6491666666666667,0.7250645994832041,0.8154166666666667,0.717312661498708,0.87875,0.6950904392764858,0.8979166666666667,0.7069767441860465,0.8916666666666667,0.3912144702842377,0.6933333333333334,0.7457364341085271,0.7370833333333333,0.7198966408268734,0.7370833333333333,0.7917312661498708,0.68375,0.8082687338501292,0.7766666666666666,0.7550387596899225,0.6383333333333333,0.7612403100775194,0.9029166666666667,0.4806201550387597,0.5916666666666667,0.6785529715762274,0.6133333333333333,0.358656330749354,0.5175
007.bmp,0.43049095607235144,0.42041666666666666,0.7467700258397932,0.34375,0.6744186046511628,0.4708333333333333,0.31989664082687336,0.52125,0.765374677002584,0.6525,0.7260981912144703,0.7783333333333333,0.6950904392764858,0.8929166666666667,0.6651162790697674,0.9116666666666666,0.6847545219638242,0.9075,0.3850129198966408,0.7391666666666666,0.7436692506459949,0.7145833333333333,0.7607235142118863,0.7191666666666666,0.8315245478036176,0.64625,0.8315245478036176,0.7616666666666667,0.8046511627906977,0.6020833333333333,0.7126614987080103,0.9170833333333334,0.5338501291989665,0.5833333333333334,0.7700258397932817,0.56875,0.3545219638242894,0.5645833333333333
008.bmp,0.40671834625323,0.43333333333333335,0.6806201550387597,0.3408333333333333,0.6428940568475452,0.45958333333333334,0.3281653746770026,0.5108333333333334,0.7441860465116279,0.5729166666666666,0.7147286821705426,0.69625,0.7064599483204135,0.7604166666666666,0.6811369509043927,0.7858333333333334,0.6997416020671835,0.7779166666666667,0.4108527131782946,0.7,0.751937984496124,0.64,0.772609819121447,0.6475,0.8268733850129198,0.5945833333333334,0.8129198966408269,0.68625,0.7581395348837209,0.5483333333333333,0.7426356589147287,0.7875,0.517829457364341,0.5529166666666666,0.7369509043927649,0.525,0.3627906976744186,0.5408333333333334
009.bmp,0.441343669250646,0.45125,0.7441860465116279,0.42875,0.6666666666666666,0.5229166666666667,0.31007751937984496,0.53125,0.7162790697674418,0.6554166666666666,0.6842377260981912,0.7904166666666667,0.6754521963824289,0.8391666666666666,0.6573643410852713,0.86,0.668733850129199,0.8520833333333333,0.37209302325581395,0.73,0.7090439276485788,0.725,0.7209302325581395,0.7320833333333333,0.7881136950904393,0.695,0.7762273901808786,0.7616666666666667,0.7493540051679587,0.6420833333333333,0.7343669250645994,0.86,0.5054263565891473,0.60375,0.7286821705426356,0.6125,0.34987080103359175,0.5658333333333333
010.bmp,0.4377260981912145,0.45,0.7255813953488373,0.35625,0.6770025839793282,0.48125,0.3421188630490956,0.5291666666666667,0.7560723514211887,0.62875,0.7085271317829457,0.7270833333333333,0.7059431524547803,0.7816666666666666,0.6883720930232559,0.8058333333333333,0.7023255813953488,0.7966666666666666,0.4,0.69375,0.7410852713178294,0.6691666666666667,0.758656330749354,0.67375,0.8304909560723515,0.6441666666666667,0.7943152454780362,0.73,0.8098191214470284,0.5854166666666667,0.7467700258397932,0.8220833333333334,0.530749354005168,0.5766666666666667,0.7467700258397932,0.5666666666666667,0.3788113695090439,0.5620833333333334
